data,n,iterativo,recursivo
Tue Sep 20 17:41:15 BRT 2022,100000,451,4173
Tue Sep 20 17:41:30 BRT 2022,100000,454,4152
Tue Sep 20 17:41:44 BRT 2022,100000,446,4130
Tue Sep 20 17:41:59 BRT 2022,100000,444,4112
Tue Sep 20 17:42:14 BRT 2022,100000,440,4151
Tue Sep 20 17:42:29 BRT 2022,100000,454,4126
Tue Sep 20 17:42:43 BRT 2022,100000,448,4186
Tue Sep 20 17:42:58 BRT 2022,100000,448,4146
Tue Sep 20 17:43:13 BRT 2022,100000,454,4253
Tue Sep 20 17:43:28 BRT 2022,100000,454,4137
Tue Sep 20 17:43:43 BRT 2022,100000,453,4168
Tue Sep 20 17:43:57 BRT 2022,100000,449,4133
Tue Sep 20 17:44:12 BRT 2022,100000,446,4100
Tue Sep 20 17:44:27 BRT 2022,100000,453,4107
Tue Sep 20 17:44:42 BRT 2022,100000,439,4142
Tue Sep 20 17:44:56 BRT 2022,100000,454,4127
Tue Sep 20 17:45:11 BRT 2022,100000,448,4147
Tue Sep 20 17:45:26 BRT 2022,100000,451,4129
Tue Sep 20 17:45:40 BRT 2022,100000,448,4087
Tue Sep 20 17:45:55 BRT 2022,100000,451,4165
Tue Sep 20 17:46:10 BRT 2022,100000,449,4173
Tue Sep 20 17:46:25 BRT 2022,100000,443,4150
Tue Sep 20 17:46:39 BRT 2022,100000,460,4224
Tue Sep 20 17:46:54 BRT 2022,100000,442,4158
Tue Sep 20 17:47:09 BRT 2022,100000,452,4117
Tue Sep 20 17:47:24 BRT 2022,100000,454,4113
Tue Sep 20 17:47:39 BRT 2022,100000,455,4102
Tue Sep 20 17:47:53 BRT 2022,100000,439,4121
Tue Sep 20 17:48:08 BRT 2022,100000,451,4178
Tue Sep 20 17:48:23 BRT 2022,100000,442,4130
Tue Sep 20 17:48:37 BRT 2022,100000,457,4130
Tue Sep 20 17:48:52 BRT 2022,100000,457,4121
Tue Sep 20 17:49:07 BRT 2022,100000,446,4247
Tue Sep 20 17:49:22 BRT 2022,100000,441,4093
Tue Sep 20 17:49:36 BRT 2022,100000,445,4114
Tue Sep 20 17:49:51 BRT 2022,100000,437,4118
Tue Sep 20 17:50:06 BRT 2022,100000,448,4149
Tue Sep 20 17:50:21 BRT 2022,100000,437,4126
Tue Sep 20 17:50:35 BRT 2022,100000,452,4151
Tue Sep 20 17:50:50 BRT 2022,100000,450,4146
Tue Sep 20 17:51:05 BRT 2022,100000,448,4186
Tue Sep 20 17:51:20 BRT 2022,100000,443,4200
Tue Sep 20 17:51:34 BRT 2022,100000,452,4179
Tue Sep 20 17:51:49 BRT 2022,100000,447,4139
Tue Sep 20 17:52:04 BRT 2022,100000,450,4144
Tue Sep 20 17:52:19 BRT 2022,100000,452,4132
Tue Sep 20 17:52:33 BRT 2022,100000,453,4090
Tue Sep 20 17:52:48 BRT 2022,100000,461,4112
Tue Sep 20 17:53:03 BRT 2022,100000,442,4129
Tue Sep 20 17:53:18 BRT 2022,100000,441,4082
Tue Sep 20 17:53:32 BRT 2022,100000,450,4098
